Food Name,region,diet_type,ingredients,calories,carbs,fat,protein
Aloo Posto,West Bengal,Veg,None,150,20,10,5
Shorshe Ilish,West Bengal,Non-Veg,None,300,5,25,20
Chingri Malai Curry,West Bengal,Non-Veg,None,350,10,25,30
Bhetki Paturi,West Bengal,Non-Veg,None,250,8,15,20
Dhokar Dalna,West Bengal,Veg,None,200,30,8,12
Cholar Dal,West Bengal,Veg,None,180,28,5,9
Beguni,West Bengal,Veg,None,250,30,15,5
Murgi Korma,West Bengal,Non-Veg,None,400,12,30,25
Kosha Mangsho,West Bengal,Non-Veg,None,350,8,30,20
Mishti Doi,West Bengal,Veg,Dairy,180,24,5,8
Kachori,West Bengal,Veg,Gluten,220,30,12,5
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,20,25
Bangalir Bhorta,West Bengal,Veg,None,200,25,7,10
Shukto,West Bengal,Veg,None,150,20,6,4
Luchi Aloo,West Bengal,Veg,Gluten,300,40,15,6
Macher Jhol,West Bengal,Non-Veg,None,250,10,15,20
Aloo Dum,West Bengal,Veg,None,200,30,8,6
Chingri Malai,West Bengal,Non-Veg,None,320,12,25,20
Khichuri,West Bengal,Veg,None,250,40,8,8
Patishapta,West Bengal,Veg,"Dairy, Gluten",180,25,5,10
Rasgulla,West Bengal,Veg,Dairy,250,30,8,20
Sandesh,West Bengal,Veg,Dairy,150,20,4,8
Mutton Rezala,West Bengal,Non-Veg,None,400,10,35,25
Pulao,West Bengal,Veg,None,250,35,8,5
Jhalmuri,West Bengal,Veg,None,200,30,10,4
Paturi,West Bengal,Non-Veg,None,270,12,20,22
Paatishapta,West Bengal,Veg,Dairy,200,25,6,12
Shingara,West Bengal,Veg,Gluten,240,30,12,6
Chingri Malai,West Bengal,Non-Veg,None,350,14,25,20
Ghoogni,West Bengal,Veg,None,180,25,5,7
Kacha Mango Chutney,West Bengal,Veg,None,100,15,1,1
Tandoori Murg,West Bengal,Non-Veg,None,300,8,20,25
Kacha Aam er Chatni,West Bengal,Veg,None,120,20,0,0
Labra,West Bengal,Veg,None,200,30,8,5
Paturi Bhetki,West Bengal,Non-Veg,None,280,10,20,18
Sukto,West Bengal,Veg,None,170,25,6,4
Methi Thepla,West Bengal,Veg,Gluten,220,35,10,8
Vegetable Chop,West Bengal,Veg,None,250,30,12,7
Murgir Korma,West Bengal,Non-Veg,None,350,12,28,22
Bhapa Ilish,West Bengal,Non-Veg,None,280,6,22,25
Moong Dal,West Bengal,Veg,None,150,25,4,10
Biryani,West Bengal,Non-Veg,None,400,45,15,20
Chingri Malai,West Bengal,Non-Veg,None,350,12,28,22
Murgir Kasha,West Bengal,Non-Veg,None,400,10,30,25
Kolkata Kachori,West Bengal,Veg,Gluten,220,30,12,8
Aloo Bharta,West Bengal,Veg,None,180,25,6,5
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,18,25
Patishapta,West Bengal,Veg,Dairy,200,28,6,12
Cholar Dal,West Bengal,Veg,None,180,28,5,10
Ghoogni,West Bengal,Veg,None,190,26,6,7
Patishapta,West Bengal,Veg,Dairy,200,25,5,10
Mughlai Paratha,West Bengal,Veg,Gluten,300,40,15,8
Ghoogni,West Bengal,Veg,None,200,25,6,7
Aloo Keema,Uttarakhand,Non-Veg,None,350,30,20,15
Bhatt Ki Churkani,Uttarakhand,Veg,None,300,40,10,12
Chainsoo,Uttarakhand,Veg,None,250,35,8,14
Kumaoni Raita,Uttarakhand,Veg,Dairy,150,15,8,6
Fruits and Nut Kheer,Uttarakhand,Veg,"Nuts, Dairy",400,50,18,25
Gahat Ki Dal,Uttarakhand,Veg,None,300,40,12,20
Kandalee Saag,Uttarakhand,Veg,None,200,25,5,8
Singori,Uttarakhand,Veg,Dairy,250,30,12,10
Raita,Uttarakhand,Veg,Dairy,180,20,10,5
Chawal Ki Roti,Uttarakhand,Veg,None,280,45,8,6
